geo|account_currency|login|paymethod|payment_name|currency|deposit|withdraw|status|conditions|min_dep|is_recommended
FI|EUR|0depnoafffieurdesk|Carrier Billing|Bizum_Rastpay_Carrierbilling_2DEP|EUR|YES|NO|PROD|2DEP|20 EUR|YES
FI|EUR|0depnoafffieurdesk|Carrier Billing|Dimoco_Dimoco_Carrierbilling|EUR|YES|NO|PROD||20 EUR|YES
FI|EUR|0depnoafffieurdesk|Carrier Billing|SiruV3_Siru_Carrierbilling_SE|EUR|YES|NO|PROD||20 EUR|YES
FI|EUR|0depnoafffieurdesk|Carrier Billing|SiruV3_Siru_Carrierbilling_FI|EUR|YES|NO|PROD||20 EUR|YES
FI|EUR|0depnoafffieurdesk|EPS|EPS_Utorg_Banks_1DEP|EUR|YES|NO|PROD|1DEP|20 EUR|YES
FI|EUR|0depnoafffieurdesk|Interac®|Interac_Gigadat_Banks|CAD|YES|NO|PROD||20 CAD|YES
FI|EUR|0depnoafffieurdesk|MBway|MBway_Impaya_Banks_0DEP//mob//aff|EUR|YES|NO|PROD|0DEP+AFF+MOB|20 EUR|YES
FI|EUR|0depnoafffieurdesk|MBway|MBway_Utorg_Banks_0DEP//desktop|EUR|YES|NO|PROD|0DEP+DESKTOP|20 EUR|YES
FI|EUR|0depnoafffieurdesk|MBway|MBway_Colibrix_Banks_0DEP//desktop|EUR|YES|NO|PROD|0DEP+DESKTOP|20 EUR|YES
FI|EUR|0depnoafffieurdesk|MBway|MBway_Utorg_Banks_0DEP//mob//noaff|EUR|YES|NO|PROD|0DEP+MOB+NOAFF|20 EUR|YES
FI|EUR|0depnoafffieurdesk|MBway|MBway_Colibrix_Banks_0DEP//noaff|EUR|YES|NO|PROD|0DEP+NOAFF|20 EUR|YES
FI|EUR|0depnoafffieurdesk|MBway|MBway_Exactly_Banks_1DEP|EUR|YES|NO|PROD|1DEP|20 EUR|YES
FI|EUR|0depnoafffieurdesk|MBway|MBway_Exactly_Banks_0DEP//aff|EUR|YES|NO|PROD|0DEP+AFF|20 EUR|YES
FI|EUR|0depnoafffieurdesk|MBway|MBway_Colibrix_Banks|EUR|YES|NO|PROD||20 EUR|YES
FI|EUR|0depnoafffieurdesk|MuchBetter|Muchbetter_Muchbetter_Wallet|CAD|YES|YES|PROD||20 CAD|YES
FI|EUR|0depnoafffieurdesk|Multibanco|Multibanco_Impaya_Banks_0DEP//mob//aff|EUR|YES|NO|PROD|0DEP+AFF+MOB|20 EUR|YES
FI|EUR|0depnoafffieurdesk|Multibanco|Multibanco_Impaya_Banks_1DEP|EUR|YES|NO|PROD|1DEP|20 EUR|YES
