title|name|currency|min_deposit|min_source|is_recommended|allowed_countries_deposit|allowed_countries_withdraw|restricted_countries_deposit|restricted_countries_withdraw|allowed_country_regions|restricted_country_regions|recommended_status|recommended_countries|display_type|parent_paysystem|alias|allow_org|deny_org|deny_vpn|allow_only_kyc_users|high_volatile|allow_count_temp|rest_count_temp|aa_allow_count_temp|aa_rest_count_temp|sort_type|orderBy|comments|description|exclude_os|show_by_ip|show_on_page|referer_flag|all_copy|dep_affiliate_id|hide_affiliate_id|show_affiliate_id|hide_for_fake_email|show_for_fake_email|oct_withdrawal|run_iframe|paysystem_view|parse_button1|parse_button2|parse_button3|parse_button4|dep_allow|paysystem_user_kyc|has_images|image_types|has_secondary_payment|secondary_payment_keys|has_settings|settings_keys|paymethods_count|first_paymethod_keys
paymentTest|paymentTest//delete|EUR||none|NO|[]|[]|[]|[]|||False|[]||||False|False|False|False|False|||||||||False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|[]|[]|False|[]|False|[]|False|[]|0|
paymentTestDummy|PaymentTestDummy|EUR||none|NO|[]|[]|[]|[]|||False|[]||||False|False|False|False|False|||||||||False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|[]|[]|False|[]|False|[]|False|[]|0|
Interac®|Interac_Gigadat_Banks|CAD||none|YES|[]|[]|[]|[]|||False|[]||||False|False|False|False|False|||||||||False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|[]|[]|False|[]|False|[]|False|[]|0|
paymentTest|paymentTest|EUR||none|NO|[]|[]|[]|[]|||False|[]||||False|False|False|False|False|||||||||False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|[]|[]|False|[]|False|[]|False|[]|0|
Visa/Mastercard|V/M_Corefy_Cards_1DEP|EUR||none|YES|[]|[]|[]|[]|||False|[]||||False|False|False|False|False|||||||||False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|[]|[]|False|[]|False|[]|False|[]|0|
Visa/Mastercard|V/M_Corefy_Cards_0DEP//mob//aff|EUR||none|YES|[]|[]|[]|[]|||False|[]||||False|False|False|False|False|||||||||False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|[]|[]|False|[]|False|[]|False|[]|0|
Visa/Mastercard|V/M_Directcorefy_Cards_0DEP//desktop|EUR||none|YES|[]|[]|[]|[]|||False|[]||||False|False|False|False|False|||||||||False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|[]|[]|False|[]|False|[]|False|[]|0|
Visa/Mastercard|V/M_Directcorefy_Cards_0DEP//mob//noaff|EUR||none|YES|[]|[]|[]|[]|||False|[]||||False|False|False|False|False|||||||||False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|[]|[]|False|[]|False|[]|False|[]|0|
BLIK2|Blik_Gate2WayVip_Banks_1DEP|PLN||none|NO|[]|[]|[]|[]|||False|[]||||False|False|False|False|False|||||||||False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|[]|[]|False|[]|False|[]|False|[]|0|
MBway|MBway_Impaya_Banks_0DEP//mob//aff|EUR||none|YES|[]|[]|[]|[]|||False|[]||||False|False|False|False|False|||||||||False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|[]|[]|False|[]|False|[]|False|[]|0|
MBway|MBway_Utorg_Banks_0DEP//desktop|EUR||none|YES|[]|[]|[]|[]|||False|[]||||False|False|False|False|False|||||||||False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|[]|[]|False|[]|False|[]|False|[]|0|
MBway2|MBway_Impaya_Banks_1DEP|EUR||none|NO|[]|[]|[]|[]|||False|[]||||False|False|False|False|False|||||||||False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|[]|[]|False|[]|False|[]|False|[]|0|
MBway|MBway_Colibrix_Banks_0DEP//desktop|EUR||none|YES|[]|[]|[]|[]|||False|[]||||False|False|False|False|False|||||||||False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|[]|[]|False|[]|False|[]|False|[]|0|
MBway|MBway_Utorg_Banks_0DEP//mob//noaff|EUR||none|YES|[]|[]|[]|[]|||False|[]||||False|False|False|False|False|||||||||False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|[]|[]|False|[]|False|[]|False|[]|0|
MBway|MBway_Colibrix_Banks_0DEP//noaff|EUR||none|YES|[]|[]|[]|[]|||False|[]||||False|False|False|False|False|||||||||False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|[]|[]|False|[]|False|[]|False|[]|0|
