Position,Title,Name,Category,Traffic Level,Device,Affiliate,Additional Settings,Min Deposit,Currency,Display Type,Parent System,Recommended,Full Name
1,paymentTest,paymentTest//delete,Regular,No Settings,Any,Any,None,Not Set,EUR,unknown,None,No,paymentTest//delete
2,paymentTestDummy,PaymentTestDummy,Regular,No Settings,Any,Any,None,Not Set,EUR,unknown,None,No,PaymentTestDummy
3,Interac®,Interac_Gigadat_Banks,Regular,No Settings,Any,Any,None,Not Set,CAD,unknown,None,Yes,Interac_Gigadat_Banks
4,paymentTest,paymentTest,Regular,No Settings,Any,Any,None,Not Set,EUR,unknown,None,No,paymentTest
5,Visa/Mastercard,V/M_Corefy_Cards_1DEP,Regular,1DEP,Any,Any,None,Not Set,EUR,unknown,None,Yes,V/M_Corefy_Cards_1DEP
6,Visa/Mastercard,V/M_Corefy_Cards_0DEP//mob//aff,Regular,0DEP,Mobile,Affiliate,None,Not Set,EUR,unknown,None,Yes,V/M_Corefy_Cards_0DEP//mob//aff
7,Visa/Mastercard,V/M_Directcorefy_Cards_0DEP//desktop,Regular,0DEP,Desktop,Any,None,Not Set,EUR,unknown,None,Yes,V/M_Directcorefy_Cards_0DEP//desktop
8,Visa/Mastercard,V/M_Directcorefy_Cards_0DEP//mob//noaff,Regular,0DEP,Mobile,No Affiliate,None,Not Set,EUR,unknown,None,Yes,V/M_Directcorefy_Cards_0DEP//mob//noaff
9,BLIK2,Blik_Gate2WayVip_Banks_1DEP,Regular,1DEP,Any,Any,None,Not Set,PLN,unknown,None,No,Blik_Gate2WayVip_Banks_1DEP
10,MBway,MBway_Impaya_Banks_0DEP//mob//aff,Regular,0DEP,Mobile,Affiliate,None,Not Set,EUR,unknown,None,No,MBway_Impaya_Banks_0DEP//mob//aff
11,MBway,MBway_Utorg_Banks_0DEP//desktop,Regular,0DEP,Desktop,Any,None,Not Set,EUR,unknown,None,Yes,MBway_Utorg_Banks_0DEP//desktop
12,MBway2,MBway_Impaya_Banks_1DEP,Regular,1DEP,Any,Any,None,Not Set,EUR,unknown,None,No,MBway_Impaya_Banks_1DEP
