geo|paymethod|payment_name|currency|deposit|withdraw|status|details|min_dep|is_recommended|methods_count|payment_methods
PL_EUR|Visa/Mastercard|Visa/Mastercard|EUR|YES|NO|PROD|0DEP+MOB+NOAFF|20 EUR|YES|1|V/M_Directcorefy_Cards_0DEP//mob//noaff
PL_EUR|CASHlib|CASHlib|EUR|YES|NO|PROD||5 EUR|NO|1|CASHlib_CASHlib_Voucher
PL_EUR|Mifinity|Mifinity|EUR|YES|YES|PROD||20 EUR|NO|1|Mifinity_Mifinity_Wallet
PL_EUR|Pay by Bank|Pay by Bank|EUR|YES|NO|PROD||20 EUR|NO|1|Openbanking_Rillpay_Banks_EU
PL_EUR|Revolut|Revolut|EUR|YES|NO|PROD||20 EUR|NO|1|Revolut_Impaya_Banks
PL_EUR|Wise|Wise|EUR|YES|NO|PROD||20 EUR|NO|1|Wise_Impaya_Banks
PL_EUR|ADA - Cardano|ADA - Cardano|EUR|YES|YES|PROD||—|NO|1|ADA_Coinspaid_Cryptopay_Cardano
PL_EUR|BTC - Bitcoin|BTC - Bitcoin|EUR|YES|YES|PROD||50 EUR|NO|1|BTC_Coinspaid_Cryptopay_Bitcoin
PL_EUR|Crypto|Crypto|EUR|YES|YES|PROD||20 EUR|NO|1|Crypto
PL_EUR|DOGE - Dogecoin|DOGE - Dogecoin|EUR|YES|YES|PROD||—|NO|1|DOGE_Coinspaid_Cryptopay_Dogecoin
PL_EUR|ETH -  Ethereum (ERC20)|ETH -  Ethereum (ERC20)|EUR|YES|YES|PROD||—|NO|1|ETH_Coinspaid_Cryptopay_Etherium
PL_EUR|LTC - Litecoin|LTC - Litecoin|EUR|YES|YES|PROD||—|NO|1|LTC_Coinspaid_Cryptopay_Litecoin
PL_EUR|SOL - Solana|SOL - Solana|EUR|YES|YES|PROD||—|NO|1|SOL_Coinspaid_Cryptopay_Solana
PL_EUR|TRX - Tron|TRX - Tron|EUR|YES|YES|PROD||—|NO|1|TRX_Coinspaid_Cryptopay_Tron
PL_EUR|USDT  -  Tether USD (ERC20)|USDT  -  Tether USD (ERC20)|EUR|YES|YES|PROD||—|NO|1|USDTE_Coinspaid_Cryptopay_TetherERC20
PL_EUR|USDT -  Tether USD (TRC20)|USDT -  Tether USD (TRC20)|EUR|YES|YES|PROD||20 EUR|NO|1|USDTT_Coinspaid_Cryptopay_TetherTRC20
PL_EUR|XRP - Ripple|XRP - Ripple|EUR|YES|YES|PROD||—|NO|1|Ripple_Coinspaid_Cryptopay_XRP
