geo|paymethod|payment_name|currency|deposit|withdraw|status|details|min_dep|is_recommended|methods_count|payment_methods
PT|BLIK|BLIK|PLN|YES|NO|PROD|0DEP\n0DEP+AFF+MOB\n1DEP|20 EUR|YES|3|Blik_Gate2WayVip_Banks_0DEP\nBlik_Colibrix_Banks_1DEP\nBlik_Colibrix_Banks_0DEP//mob//aff
PT|Carrier Billing|Carrier Billing|EUR|YES|NO|PROD|2DEP|20 EUR|YES|4|Bizum_Rastpay_Carrierbilling_2DEP\nDimoco_Dimoco_Carrierbilling\nSiruV3_Siru_Carrierbilling_SE\nSiruV3_Siru_Carrierbilling_FI
PT|EPS|EPS|EUR|YES|NO|PROD|1DEP|20 EUR|YES|1|EPS_Utorg_Banks_1DEP
PT|Interac®|Interac®|CAD|YES|NO|PROD||20 EUR|YES|1|Interac_Gigadat_Banks
PT|MBway|MBway|EUR|YES|NO|PROD|0DEP+AFF\n0DEP+AFF+MOB\n0DEP+DESKTOP\n0DEP+MOB+NOAFF\n0DEP+NOAFF\n1DEP|20 EUR|YES|8|MBway_Impaya_Banks_0DEP//mob//aff\nMBway_Utorg_Banks_0DEP//desktop\nMBway_Colibrix_Banks_0DEP//desktop\nMBway_Utorg_Banks_0DEP//mob//noaff\nMBway_Colibrix_Banks_0DEP//noaff\nMBway_Exactly_Banks_1DEP\nMBway_Exactly_Banks_0DEP//aff\nMBway_Colibrix_Banks
PT|MuchBetter|MuchBetter|CAD|YES|YES|PROD||20 EUR|YES|1|Muchbetter_Muchbetter_Wallet
PT|Multibanco|Multibanco|EUR|YES|NO|PROD|0DEP+AFF+MOB\n0DEP+DESKTOP\n0DEP+MOB+NOAFF\n1DEP|20 EUR|YES|5|Multibanco_Impaya_Banks_0DEP//mob//aff\nMultibanco_Impaya_Banks_1DEP\nMultibanco_Colibrix_Banks_0DEP//desktop\nMultibanco_Colibrix_Banks_0DEP//mob//noaff\nMultibanco_Colibrix_Banks
PT|Neosurf|Neosurf|CAD|YES|NO|PROD||20 EUR|YES|2|Neosurf_Neosurf_Voucher\nNeosurf_Payop_Voucher
PT|Pay via Bank|Pay via Bank|EUR|YES|NO|PROD|0DEP+DESKTOP\n0DEP+MOB+NOAFF\n1DEP|20 EUR|YES|8|Openbanking_Impaya_Banks\nNodapay_nodapay_Banks_EU\nNodapay_nodapay_Banks_IT\nNodapay_nodapay_Banks_LU\nNodapay_nodapay_Banks_IE\nOpenbanking_Rillpay_Banks_1DEP\nOpenbanking_Rillpay_Banks_0DEP//noaff//mob\nOpenbanking_Rillpay_Banks_0DEP//desktop
PT|PayID|PayID|AUD|YES|NO|PROD|2DEP|20 EUR|YES|1|Payler_PayID_Banks_2DEP
PT|PaySafeCard|PaySafeCard|EUR|YES|NO|PROD|3DEP|15 EUR|YES|1|Paysafecard_Gate2WayVip_Voucher_3DEP//DE
PT|Per Bank Einzahlen|Per Bank Einzahlen|EUR|YES|NO|PROD|0DEP\n1DEP|20 EUR|YES|2|Nodapay_Nodapay_Banks_0DEP//DE//FTD\nNodapay_nodapay_Banks_1DEP//DE
PT|Visa/Mastercard|Visa/Mastercard|EUR|YES|NO|PROD|0DEP+AFF+MOB\n0DEP+DESKTOP\n0DEP+MOB+NOAFF\n1DEP|20 EUR|YES|4|V/M_Corefy_Cards_1DEP\nV/M_Corefy_Cards_0DEP//mob//aff\nV/M_Directcorefy_Cards_0DEP//desktop\nV/M_Directcorefy_Cards_0DEP//mob//noaff
