Paymethod|Payment Name|Currency|Deposit|Withdraw|Status|Details|Min Dep|Payment Methods
BLIK|BLIK|PLN|YES|NO|PROD|"0DEP
0DEP+AFF+MOB
1DEP"|20 EUR|"Blik_Gate2WayVip_Banks_0DEP
Blik_Colibrix_Banks_1DEP
Blik_Colibrix_Banks_0DEP//mob//aff"
Carrier Billing|Carrier Billing|EUR|YES|NO|PROD|2DEP|20 EUR|"Bizum_Rastpay_Carrierbilling_2DEP
Dimoco_Dimoco_Carrierbilling
SiruV3_Siru_Carrierbilling_SE
SiruV3_Siru_Carrierbilling_FI"
EPS|EPS|EUR|YES|NO|PROD|1DEP|20 EUR|EPS_Utorg_Banks_1DEP
Interac®|Interac®|CAD|YES|NO|PROD||20 EUR|Interac_Gigadat_Banks
MBway|MBway|EUR|YES|NO|PROD|"0DEP+AFF
0DEP+AFF+MOB
0DEP+DESKTOP
0DEP+MOB+NOAFF
0DEP+NOAFF
1DEP"|20 EUR|"MBway_Impaya_Banks_0DEP//mob//aff
MBway_Utorg_Banks_0DEP//desktop
MBway_Colibrix_Banks_0DEP//desktop
MBway_Utorg_Banks_0DEP//mob//noaff
MBway_Colibrix_Banks_0DEP//noaff
MBway_Exactly_Banks_1DEP
MBway_Exactly_Banks_0DEP//aff
MBway_Colibrix_Banks"
MuchBetter|MuchBetter|CAD|YES|YES|PROD||20 EUR|Muchbetter_Muchbetter_Wallet
Multibanco|Multibanco|EUR|YES|NO|PROD|"0DEP+AFF+MOB
0DEP+DESKTOP
0DEP+MOB+NOAFF
1DEP"|20 EUR|"Multibanco_Impaya_Banks_0DEP//mob//aff
Multibanco_Impaya_Banks_1DEP
Multibanco_Colibrix_Banks_0DEP//desktop
Multibanco_Colibrix_Banks_0DEP//mob//noaff
Multibanco_Colibrix_Banks"
Neosurf|Neosurf|CAD|YES|NO|PROD||20 EUR|"Neosurf_Neosurf_Voucher
Neosurf_Payop_Voucher"
Pay via Bank|Pay via Bank|EUR|YES|NO|PROD|"0DEP+DESKTOP
0DEP+MOB+NOAFF
1DEP"|20 EUR|"Openbanking_Impaya_Banks
Nodapay_nodapay_Banks_EU
Nodapay_nodapay_Banks_IT
Nodapay_nodapay_Banks_LU
Nodapay_nodapay_Banks_IE
Openbanking_Rillpay_Banks_1DEP
Openbanking_Rillpay_Banks_0DEP//noaff//mob
Openbanking_Rillpay_Banks_0DEP//desktop"
PayID|PayID|AUD|YES|NO|PROD|2DEP|20 EUR|Payler_PayID_Banks_2DEP
PaySafeCard|PaySafeCard|EUR|YES|NO|PROD|3DEP|15 EUR|Paysafecard_Gate2WayVip_Voucher_3DEP//DE
Per Bank Einzahlen|Per Bank Einzahlen|EUR|YES|NO|PROD|"0DEP
1DEP"|20 EUR|"Nodapay_Nodapay_Banks_0DEP//DE//FTD
Nodapay_nodapay_Banks_1DEP//DE"
